show_id;type;title;date_added;release_year;duration;listed_in
s1;TV Show;3%;14.08.2020;2020;4 Seasons;International TV Shows, TV Dramas, TV Sci-Fi & Fantasy
s2;Movie;7:19;23.12.2016;2016;93 min;Dramas, International Movies
s3;Movie;23:59;20.12.2018;2011;78 min;Horror Movies, International Movies
s4;Movie;9;16.11.2017;2009;80 min;Action & Adventure, Independent Movies, Sci-Fi & Fantasy
s5;Movie;21;01.01.2020;2008;123 min;Dramas
s6;TV Show;46;01.07.2017;2016;1 Season;International TV Shows, TV Dramas, TV Mysteries
s7;Movie;122;01.06.2020;2019;95 min;Horror Movies, International Movies
s8;Movie;187;01.11.2019;1997;119 min;Dramas
s9;Movie;706;01.04.2019;2019;118 min;Horror Movies, International Movies
s10;Movie;1920;15.12.2017;2008;143 min;Horror Movies, International Movies, Thrillers
s11;Movie;1922;20.10.2017;2017;103 min;Dramas, Thrillers
s12;TV Show;1983;30.11.2018;2018;1 Season;Crime TV Shows, International TV Shows, TV Dramas
s13;TV Show;1994;17.05.2019;2019;1 Season;Crime TV Shows, Docuseries, International TV Shows
s15;Movie;3022;19.03.2020;2019;91 min;Independent Movies, Sci-Fi & Fantasy, Thrillers
s16;Movie;Oct-01;01.09.2019;2014;149 min;Dramas, International Movies, Thrillers
s17;TV Show;Feb-09;20.03.2019;2018;1 Season;International TV Shows, TV Dramas
s18;Movie;22-Jul;10.10.2018;2018;144 min;Dramas, Thrillers
s19;Movie;15-Aug;29.03.2019;2019;124 min;Comedies, Dramas, Independent Movies
s20;Movie;'89;16.05.2018;2017;87 min;Sports Movies
s21;Movie;​​Kuch Bheege Alfaaz;01.09.2018;2018;110 min;Dramas, Independent Movies, International Movies
s22;Movie;​Goli Soda 2;15.09.2018;2018;128 min;Action & Adventure, Dramas, International Movies
s23;Movie;​Maj Rati ​​Keteki;15.09.2018;2017;117 min;Dramas, International Movies
s24;Movie;​Mayurakshi;15.09.2018;2017;100 min;Dramas, International Movies
s25;TV Show;​SAINT SEIYA: Knights of the Zodiac;23.01.2020;2020;2 Seasons;Anime Series, International TV Shows
s26;Movie;(T)ERROR;30.06.2016;2015;84 min;Documentaries
s27;TV Show;(Un)Well;12.08.2020;2020;1 Season;Reality TV
s28;Movie;#Alive;08.09.2020;2020;99 min;Horror Movies, International Movies, Thrillers
s29;Movie;#AnneFrank - Parallel Stories;01.07.2020;2019;95 min;Documentaries, International Movies
s30;TV Show;#blackAF;17.04.2020;2020;1 Season;TV Comedies
s31;Movie;#cats_the_mewvie;05.02.2020;2020;90 min;Documentaries, International Movies
s32;Movie;#FriendButMarried;21.05.2020;2018;102 min;Dramas, International Movies, Romantic Movies
s33;Movie;#FriendButMarried 2;28.06.2020;2020;104 min;Dramas, International Movies, Romantic Movies
s34;Movie;#realityhigh;08.09.2017;2017;99 min;Comedies
s35;Movie;#Roxy;10.04.2019;2018;105 min;Comedies, Romantic Movies
s36;Movie;#Rucker50;01.12.2016;2016;56 min;Documentaries, Sports Movies
s37;Movie;#Selfie;01.06.2019;2014;125 min;Comedies, Dramas, International Movies
s38;Movie;#Selfie 69;01.06.2019;2016;119 min;Comedies, Dramas, International Movies
s39;TV Show;;30.03.2019;2016;1 Season;International TV Shows, Romantic TV Shows, TV Comedies
s40;Movie;¡Ay, mi madre!;19.07.2019;2019;81 min;Comedies, International Movies
s41;Movie;Çarsi Pazar;10.03.2017;2015;97 min;Comedies, International Movies
s42;Movie;Ég man þig;27.03.2018;2017;106 min;Horror Movies, International Movies
s43;Movie;Çok Filim Hareketler Bunlar;10.03.2017;2010;99 min;Comedies, International Movies
s44;Movie;Òlòtūré;02.10.2020;2020;107 min;Dramas, International Movies
s45;Movie;Æon Flux;01.02.2018;2005;93 min;Action & Adventure, Sci-Fi & Fantasy
s46;TV Show;Şubat;17.01.2017;2013;1 Season;Crime TV Shows, International TV Shows, TV Dramas
s47;Movie;1 Chance 2 Dance;01.07.2017;2014;89 min;Dramas, Romantic Movies
s48;Movie;1 Mile to You;07.07.2017;2017;105 min;Dramas, Romantic Movies, Sports Movies
s49;Movie;10 Days in Sun City;18.10.2019;2017;87 min;Comedies, International Movies, Romantic Movies
s50;Movie;10 jours en or;01.07.2017;2012;97 min;Comedies, Dramas, International Movies
s51;Movie;10,000 B.C.;01.06.2019;2008;109 min;Action & Adventure
s52;TV Show;100 Days My Prince;07.12.2020;2018;1 Season;International TV Shows, Romantic TV Shows, TV Dramas
s53;Movie;100 Days Of Solitude;06.07.2018;2018;93 min;Documentaries, International Movies
s54;TV Show;100 Humans;13.03.2020;2020;1 Season;Docuseries, Science & Nature TV
s55;Movie;100 Meters;10.03.2017;2016;109 min;Dramas, International Movies, Sports Movies
s56;Movie;100 Things to do Before High School;02.11.2019;2014;44 min;Movies
s57;Movie;100 Years: One Woman's Fight for Justice;20.03.2018;2016;75 min;Documentaries
s58;Movie;100% Halal;07.01.2021;2020;101 min;Dramas, International Movies
